50-Sn_n-g
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
1.000000e-05 3.06876898e+01
1.250000e-05 2.74479096e+01
1.500000e-05 2.50563681e+01
2.000000e-05 2.16994392e+01
2.750000e-05 1.85053211e+01
3.500000e-05 1.64031928e+01
4.250000e-05 1.48856093e+01
5.000000e-05 1.37238505e+01
6.250000e-05 1.22749383e+01
7.500000e-05 1.12054181e+01
1.000000e-04 9.70412701e+00
1.250000e-04 8.67959014e+00
1.500000e-04 7.92330584e+00
2.000000e-04 6.86170828e+00
2.750000e-04 5.85160319e+00
3.500000e-04 5.18681670e+00
4.250000e-04 4.70688613e+00
5.000000e-04 4.33946493e+00
6.250000e-04 3.88123885e+00
7.500000e-04 3.54297546e+00
1.000000e-03 3.06815518e+00
1.250000e-03 2.74410012e+00
1.500000e-03 2.50487995e+00
2.000000e-03 2.16906922e+00
2.750000e-03 1.84950540e+00
3.500000e-03 1.63916270e+00
4.250000e-03 1.48728994e+00
5.000000e-03 1.37100179e+00
6.250000e-03 1.22595224e+00
7.500000e-03 1.11885041e+00
1.000000e-02 9.68462599e-01
1.250000e-02 8.65780496e-01
1.500000e-02 7.89945793e-01
2.000000e-02 6.83421792e-01
2.530000e-02 6.06986396e-01
3.147500e-02 5.43520423e-01
3.765000e-02 4.96338035e-01
5.000000e-02 4.29636789e-01
6.250000e-02 3.83322566e-01
7.500000e-02 3.49058179e-01
1.000000e-01 3.00809177e-01
1.250000e-01 2.67745414e-01
1.500000e-01 2.43241652e-01
2.000000e-01 2.08665303e-01
2.375000e-01 1.90849367e-01
2.750000e-01 1.75508441e-01
3.500000e-01 1.53519016e-01
5.000000e-01 1.25318936e-01
7.500000e-01 9.91842850e-02
8.750000e-01 9.21695179e-02
1.000000e+00 8.70969461e-02
1.063250e+00 8.78262465e-02
1.126500e+00 9.17497356e-02
1.189750e+00 1.03945046e-01
1.221380e+00 1.17371246e-01
1.253000e+00 1.40439645e-01
1.290000e+00 1.82305992e-01
1.327000e+00 2.11074100e-01
1.364000e+00 1.82642335e-01
1.401000e+00 1.38721546e-01
1.438440e+00 1.09397516e-01
1.475880e+00 9.22987397e-02
1.500000e+00 8.55432435e-02
1.513310e+00 8.20020031e-02
1.550750e+00 7.55510665e-02
1.625630e+00 6.77085469e-02
1.700500e+00 6.29239445e-02
1.850250e+00 5.66773665e-02
2.000000e+00 5.20675500e-02
2.375000e+00 4.54857104e-02
2.750000e+00 3.98213235e-02
3.500000e+00 3.28278267e-02
4.250000e+00 2.87195403e-02
5.000000e+00 2.55706366e-02
5.290000e+00 2.55753371e-02
5.435000e+00 2.60276616e-02
5.580000e+00 2.71728813e-02
5.725000e+00 2.99126540e-02
5.797500e+00 3.26234137e-02
5.870000e+00 3.72833302e-02
5.942500e+00 4.60441127e-02
5.978750e+00 5.35238189e-02
6.015000e+00 6.49653190e-02
6.051250e+00 8.35237200e-02
6.087500e+00 1.15915801e-01
6.123750e+00 1.77453150e-01
6.141880e+00 2.28699514e-01
6.160000e+00 3.01334142e-01
6.190000e+00 4.70669541e-01
6.220000e+00 5.84441383e-01
6.250000e+00 4.72671608e-01
6.280000e+00 3.03718013e-01
6.309060e+00 1.97643287e-01
6.338130e+00 1.37035412e-01
6.367190e+00 1.01525560e-01
6.396250e+00 7.95477066e-02
6.454380e+00 5.53518159e-02
6.512500e+00 4.31798826e-02
6.570630e+00 3.62291900e-02
6.628750e+00 3.18781082e-02
6.745000e+00 2.68898119e-02
6.861250e+00 2.41805114e-02
6.977500e+00 2.24876570e-02
7.210000e+00 2.04389043e-02
7.500000e+00 1.90481968e-02
7.675000e+00 1.83491133e-02
8.140000e+00 1.72415932e-02
9.070000e+00 1.56271742e-02
1.000000e+01 1.42792343e-02
1.250000e+01 1.22913852e-02
1.265850e+01 1.21948932e-02
1.398780e+01 1.14733518e-02
1.465240e+01 1.11754926e-02
1.498470e+01 1.11762462e-02
1.500000e+01 1.12091714e-02
1.515090e+01 1.15666433e-02
1.523390e+01 1.23515507e-02
1.527550e+01 1.33195521e-02
1.531700e+01 1.52905108e-02
1.538500e+01 1.97534596e-02
1.545300e+01 1.52710517e-02
1.548850e+01 1.34834081e-02
