53-I_n-g
>  53-I-127:1.000000
1.000000e-05 3.08978000e+02
1.250000e-05 2.76359000e+02
1.500000e-05 2.52280000e+02
2.000000e-05 2.18481000e+02
2.750000e-05 1.86321000e+02
3.500000e-05 1.65156000e+02
4.250000e-05 1.49877000e+02
5.000000e-05 1.38179000e+02
6.250000e-05 1.23591000e+02
7.500000e-05 1.12823000e+02
1.000000e-04 9.77076000e+01
1.250000e-04 8.73924000e+01
1.500000e-04 7.97780000e+01
2.000000e-04 6.90898000e+01
2.750000e-04 5.89200000e+01
3.500000e-04 5.22271000e+01
4.250000e-04 4.73953000e+01
5.000000e-04 4.36964000e+01
6.250000e-04 3.90833000e+01
7.500000e-04 3.56780000e+01
1.000000e-03 3.08982000e+01
1.250000e-03 2.76362000e+01
1.500000e-03 2.52284000e+01
2.000000e-03 2.18485000e+01
2.750000e-03 1.86326000e+01
3.500000e-03 1.65162000e+01
4.250000e-03 1.49883000e+01
5.000000e-03 1.38187000e+01
6.250000e-03 1.23600000e+01
7.500000e-03 1.12832000e+01
1.000000e-02 9.77181000e+00
1.250000e-02 8.74040000e+00
1.500000e-02 7.97908000e+00
2.000000e-02 6.91046000e+00
2.530000e-02 6.14450000e+00
3.147500e-02 5.50926000e+00
3.765000e-02 5.03759000e+00
5.000000e-02 4.37199000e+00
6.250000e-02 3.91096000e+00
7.500000e-02 3.57070000e+00
1.000000e-01 3.09318000e+00
1.250000e-01 2.76740000e+00
1.500000e-01 2.52700000e+00
2.000000e-01 2.18971000e+00
2.750000e-01 1.86904000e+00
3.500000e-01 1.65823000e+00
5.000000e-01 1.39000000e+00
7.500000e-01 1.13877000e+00
1.000000e+00 9.89801000e-01
1.500000e+00 8.14766000e-01
2.000000e+00 7.12190000e-01
2.585000e+00 6.34287000e-01
3.170000e+00 5.81202000e-01
3.755000e+00 5.44766000e-01
4.047500e+00 5.36865000e-01
4.193750e+00 5.48481000e-01
4.266880e+00 5.76430000e-01
4.340000e+00 6.71578000e-01
4.410000e+00 8.30542000e-01
4.480000e+00 6.68225000e-01
4.545000e+00 5.72785000e-01
4.610000e+00 5.36972000e-01
4.740000e+00 5.10593000e-01
5.000000e+00 4.92065000e-01
5.625000e+00 4.70823000e-01
6.250000e+00 4.56862000e-01
7.500000e+00 4.39980000e-01
1.000000e+01 4.37806000e-01
1.031500e+01 4.42187000e-01
1.063000e+01 4.92989000e-01
1.070000e+01 5.45345000e-01
1.077000e+01 4.94713000e-01
1.094060e+01 4.53013000e-01
1.111130e+01 4.49869000e-01
1.145250e+01 4.52433000e-01
1.213500e+01 4.63358000e-01
1.350000e+01 4.97820000e-01
1.486500e+01 5.55223000e-01
1.623000e+01 7.00463000e-01
1.630000e+01 7.51398000e-01
1.637000e+01 7.15687000e-01
1.659690e+01 7.03895000e-01
1.682380e+01 7.32121000e-01
1.727750e+01 8.10619000e-01
1.818500e+01 1.10476000e+00
1.863880e+01 1.41950000e+00
1.909250e+01 2.07572000e+00
1.931940e+01 2.72582000e+00
1.954630e+01 3.91765000e+00
1.965970e+01 4.93202000e+00
1.977310e+01 6.49993000e+00
1.988660e+01 9.11522000e+00
2.000000e+01 1.39717000e+01
2.009420e+01 2.20545000e+01
2.014130e+01 2.91487000e+01
2.018850e+01 4.03904000e+01
2.023560e+01 5.96553000e+01
2.028270e+01 9.63053000e+01
2.030620e+01 1.27961000e+02
2.032980e+01 1.76407000e+02
2.034160e+01 2.10316000e+02
2.035340e+01 2.53299000e+02
2.036510e+01 3.07822000e+02
2.037690e+01 3.76250000e+02
2.039140e+01 4.81307000e+02
2.040600e+01 6.01247000e+02
2.043500e+01 7.50927000e+02
2.044950e+01 7.06490000e+02
2.046410e+01 6.00385000e+02
2.049310e+01 3.75183000e+02
2.051390e+01 2.63801000e+02
2.053470e+01 1.90252000e+02
2.055560e+01 1.41644000e+02
2.057640e+01 1.08697000e+02
2.061800e+01 6.90788000e+01
2.065970e+01 4.74947000e+01
2.070130e+01 3.45990000e+01
2.074290e+01 2.63362000e+01
2.082620e+01 1.67895000e+01
2.090950e+01 1.17184000e+01
2.099270e+01 8.71786000e+00
2.115930e+01 5.50506000e+00
2.132580e+01 3.92081000e+00
2.149240e+01 3.03175000e+00
2.182550e+01 2.13631000e+00
2.215850e+01 1.73409000e+00
2.249160e+01 1.53661000e+00
2.315780e+01 1.40473000e+00
2.449020e+01 1.56304000e+00
2.582250e+01 2.09376000e+00
2.715490e+01 3.27832000e+00
2.782100e+01 4.43772000e+00
2.848720e+01 6.50431000e+00
2.882030e+01 8.21214000e+00
2.915340e+01 1.07786000e+01
2.948650e+01 1.49045000e+01
