55-Cs_n-g
> 55-Cs-133:1.000000
1.000000e-05 1.45486000e+03
1.250000e-05 1.30127000e+03
1.500000e-05 1.18789000e+03
2.000000e-05 1.02875000e+03
2.750000e-05 8.77318000e+02
3.500000e-05 7.77660000e+02
4.250000e-05 7.05716000e+02
5.000000e-05 6.50639000e+02
6.250000e-05 5.81950000e+02
7.500000e-05 5.31246000e+02
1.000000e-04 4.60075000e+02
1.250000e-04 4.11505000e+02
1.500000e-04 3.75653000e+02
2.000000e-04 3.25327000e+02
2.750000e-04 2.77443000e+02
3.500000e-04 2.45930000e+02
4.250000e-04 2.23181000e+02
5.000000e-04 2.05765000e+02
6.250000e-04 1.84046000e+02
7.500000e-04 1.68013000e+02
1.000000e-03 1.45510000e+02
1.250000e-03 1.30153000e+02
1.500000e-03 1.18818000e+02
2.000000e-03 1.02908000e+02
2.750000e-03 8.77705000e+01
3.500000e-03 7.78097000e+01
4.250000e-03 7.06198000e+01
5.000000e-03 6.51162000e+01
6.250000e-03 5.82535000e+01
7.500000e-03 5.31887000e+01
1.000000e-02 4.60816000e+01
1.250000e-02 4.12334000e+01
1.500000e-02 3.76561000e+01
2.000000e-02 3.26378000e+01
2.530000e-02 2.90438000e+01
3.147500e-02 2.60658000e+01
3.765000e-02 2.38569000e+01
5.000000e-02 2.07443000e+01
6.250000e-02 1.85930000e+01
7.500000e-02 1.70085000e+01
1.000000e-01 1.47922000e+01
1.250000e-01 1.32872000e+01
1.500000e-01 1.21821000e+01
2.000000e-01 1.06433000e+01
2.750000e-01 9.20077000e+00
3.500000e-01 8.27110000e+00
5.000000e-01 7.12787000e+00
7.500000e-01 6.14199000e+00
1.000000e+00 5.64804000e+00
1.500000e+00 5.30837000e+00
2.000000e+00 5.46601000e+00
2.750000e+00 6.53548000e+00
3.500000e+00 9.28017000e+00
3.875000e+00 1.20219000e+01
4.250000e+00 1.68430000e+01
4.625000e+00 2.64209000e+01
4.812500e+00 3.52100000e+01
5.000000e+00 4.98545000e+01
5.211700e+00 8.21834000e+01
5.317550e+00 1.12421000e+02
5.423400e+00 1.63817000e+02
5.529250e+00 2.61840000e+02
5.582180e+00 3.48062000e+02
5.635100e+00 4.85066000e+02
5.688030e+00 7.20861000e+02
5.714490e+00 9.07236000e+02
5.740950e+00 1.17306000e+03
5.767410e+00 1.56696000e+03
5.793880e+00 2.17549000e+03
5.820340e+00 3.15256000e+03
5.846800e+00 4.73777000e+03
5.878400e+00 7.55888000e+03
5.910000e+00 9.42081000e+03
5.941600e+00 7.51531000e+03
5.973200e+00 4.68483000e+03
6.000520e+00 3.06379000e+03
6.027850e+00 2.08389000e+03
6.055170e+00 1.48337000e+03
6.082490e+00 1.09959000e+03
6.137140e+00 6.64870000e+02
6.191780e+00 4.41405000e+02
6.246430e+00 3.12945000e+02
6.301070e+00 2.32805000e+02
6.410360e+00 1.42629000e+02
6.519650e+00 9.59421000e+01
6.628940e+00 6.87812000e+01
6.738240e+00 5.16386000e+01
6.847530e+00 4.01494000e+01
7.066110e+00 2.62157000e+01
7.284690e+00 1.84318000e+01
7.503270e+00 1.36598000e+01
7.721850e+00 1.05315000e+01
8.159010e+00 6.82657000e+00
8.596180e+00 4.80971000e+00
9.033340e+00 3.60709000e+00
9.251920e+00 3.21894000e+00
9.361210e+00 3.16442000e+00
9.415860e+00 3.37448000e+00
9.443180e+00 3.79320000e+00
9.470500e+00 5.04105000e+00
9.500000e+00 7.24200000e+00
9.529500e+00 4.96390000e+00
9.558910e+00 3.58104000e+00
9.588310e+00 3.09241000e+00
9.647130e+00 2.73925000e+00
9.764750e+00 2.47944000e+00
1.000000e+01 2.19457000e+00
1.084260e+01 1.58191000e+00
1.168510e+01 1.23557000e+00
1.337030e+01 8.92216000e-01
1.505540e+01 7.75007000e-01
1.589790e+01 7.74171000e-01
1.631920e+01 7.89474000e-01
1.652990e+01 8.03339000e-01
1.663520e+01 8.16713000e-01
1.674050e+01 9.18028000e-01
1.677000e+01 1.02336000e+00
1.679950e+01 9.23026000e-01
1.686300e+01 8.44448000e-01
1.692640e+01 8.38530000e-01
1.705340e+01 8.46462000e-01
1.730730e+01 8.75252000e-01
1.781500e+01 9.58810000e-01
1.832280e+01 1.08544000e+00
1.883050e+01 1.35741000e+00
1.886000e+01 1.45216000e+00
1.888950e+01 1.38572000e+00
1.895580e+01 1.35241000e+00
1.902210e+01 1.37914000e+00
1.915480e+01 1.45353000e+00
1.942000e+01 1.64157000e+00
1.968530e+01 1.89264000e+00
1.981790e+01 2.06270000e+00
1.988420e+01 2.19362000e+00
1.995050e+01 2.63702000e+00
1.998000e+01 3.10634000e+00
2.000950e+01 2.72508000e+00
2.008570e+01 2.48300000e+00
2.016180e+01 2.57790000e+00
2.031410e+01 2.87556000e+00
2.061880e+01 3.73918000e+00
2.092340e+01 5.15255000e+00
2.122810e+01 7.68465000e+00
2.138040e+01 9.77841000e+00
2.153270e+01 1.29166000e+01
2.168500e+01 1.79293000e+01
2.183730e+01 2.66684000e+01
2.198970e+01 4.39862000e+01
2.206580e+01 5.98422000e+01
2.214200e+01 8.61276000e+01
2.221810e+01 1.34284000e+02
2.225620e+01 1.74838000e+02
2.229430e+01 2.36390000e+02
2.233240e+01 3.35547000e+02
2.237050e+01 5.07514000e+02
2.238950e+01 6.42721000e+02
2.240850e+01 8.32080000e+02
2.242760e+01 1.10100000e+03
2.244660e+01 1.48045000e+03
2.247830e+01 2.36718000e+03
2.251000e+01 2.95689000e+03
2.254170e+01 2.36352000e+03
2.257340e+01 1.47603000e+03
2.260230e+01 9.45744000e+02
2.263120e+01 6.33573000e+02
2.266010e+01 4.46236000e+02
2.268900e+01 3.28418000e+02
2.274680e+01 1.96923000e+02
2.280460e+01 1.30232000e+02
