57-La_n-tot
> 57-La-139:1.000000
1.000000e-05 4.65263000e+02
1.250000e-05 4.17218000e+02
1.500000e-05 3.81753000e+02
2.000000e-05 3.31970000e+02
2.750000e-05 2.84603000e+02
3.500000e-05 2.53429000e+02
4.250000e-05 2.30925000e+02
5.000000e-05 2.13696000e+02
6.250000e-05 1.92210000e+02
7.500000e-05 1.76349000e+02
1.000000e-04 1.54086000e+02
1.250000e-04 1.38892000e+02
1.500000e-04 1.27677000e+02
2.000000e-04 1.11935000e+02
2.750000e-04 9.69556000e+01
3.500000e-04 8.70975000e+01
4.250000e-04 7.99807000e+01
5.000000e-04 7.45325000e+01
6.250000e-04 6.77377000e+01
7.500000e-04 6.27220000e+01
1.000000e-03 5.56815000e+01
1.250000e-03 5.08767000e+01
1.500000e-03 4.73299000e+01
2.000000e-03 4.23513000e+01
2.750000e-03 3.76139000e+01
3.500000e-03 3.44960000e+01
4.250000e-03 3.22451000e+01
5.000000e-03 3.05217000e+01
6.250000e-03 2.83724000e+01
7.500000e-03 2.67856000e+01
1.000000e-02 2.45580000e+01
1.250000e-02 2.30375000e+01
1.500000e-02 2.19148000e+01
2.000000e-02 2.03384000e+01
2.530000e-02 1.92077000e+01
3.147500e-02 1.82694000e+01
3.765000e-02 1.75721000e+01
5.000000e-02 1.65869000e+01
6.250000e-02 1.59032000e+01
7.500000e-02 1.53976000e+01
1.000000e-01 1.46857000e+01
1.250000e-01 1.41977000e+01
1.500000e-01 1.38357000e+01
2.000000e-01 1.33239000e+01
2.750000e-01 1.28305000e+01
3.500000e-01 1.25007000e+01
5.000000e-01 1.20786000e+01
6.057500e-01 1.19221000e+01
6.586250e-01 1.19799000e+01
6.850630e-01 1.22045000e+01
6.982810e-01 1.25013000e+01
7.115000e-01 1.31102000e+01
7.340000e-01 1.45604000e+01
7.565000e-01 1.30921000e+01
7.717190e-01 1.23756000e+01
7.869380e-01 1.20328000e+01
8.173750e-01 1.17413000e+01
8.782500e-01 1.15368000e+01
1.000000e+00 1.13588000e+01
1.250000e+00 1.11299000e+01
1.500000e+00 1.09555000e+01
2.000000e+00 1.06823000e+01
2.750000e+00 1.03687000e+01
3.500000e+00 1.01146000e+01
5.000000e+00 9.69815000e+00
7.500000e+00 9.14458000e+00
1.000000e+01 8.68925000e+00
1.500000e+01 7.95429000e+00
2.000000e+01 7.37345000e+00
2.750000e+01 6.68990000e+00
3.500000e+01 6.15696000e+00
4.250000e+01 5.72296000e+00
5.000000e+01 5.35125000e+00
5.556410e+01 5.09483000e+00
5.834620e+01 4.96598000e+00
6.112820e+01 4.83205000e+00
6.391030e+01 4.69020000e+00
6.530130e+01 4.61884000e+00
6.669230e+01 4.55821000e+00
6.738780e+01 4.54211000e+00
6.808330e+01 4.55102000e+00
6.877880e+01 4.61652000e+00
6.947440e+01 4.82199000e+00
6.982210e+01 5.04351000e+00
7.016990e+01 5.43214000e+00
7.051760e+01 6.14977000e+00
7.086540e+01 7.59225000e+00
7.103930e+01 8.88208000e+00
7.121310e+01 1.09257000e+01
7.138700e+01 1.43833000e+01
7.156090e+01 2.07997000e+01
7.164780e+01 2.62292000e+01
7.173480e+01 3.44861000e+01
7.182170e+01 4.78386000e+01
7.190870e+01 7.13251000e+01
7.195210e+01 9.02963000e+01
7.199560e+01 1.17988000e+02
7.203910e+01 1.60512000e+02
7.208250e+01 2.30299000e+02
7.212600e+01 3.55617000e+02
7.214770e+01 4.58704000e+02
7.216950e+01 6.11128000e+02
7.219120e+01 8.47883000e+02
7.221290e+01 1.23662000e+03
7.223470e+01 1.91357000e+03
7.225640e+01 3.12731000e+03
7.227820e+01 5.04097000e+03
7.230000e+01 6.35017000e+03
7.232180e+01 5.12255000e+03
7.234360e+01 3.22976000e+03
7.235710e+01 2.39182000e+03
7.237060e+01 1.80314000e+03
7.239760e+01 1.09901000e+03
7.242460e+01 7.29255000e+02
7.245160e+01 5.17020000e+02
7.247870e+01 3.85503000e+02
7.250570e+01 2.98852000e+02
7.255970e+01 1.95775000e+02
7.261370e+01 1.39236000e+02
7.266770e+01 1.04925000e+02
7.277570e+01 6.70893000e+01
7.288380e+01 4.77070000e+01
7.299180e+01 3.64168000e+01
7.309980e+01 2.92360000e+01
7.320790e+01 2.43683000e+01
7.342390e+01 1.83454000e+01
7.364000e+01 1.48714000e+01
7.385610e+01 1.26671000e+01
7.407210e+01 1.11702000e+01
7.450430e+01 9.30497000e+00
7.493640e+01 8.21341000e+00
7.536850e+01 7.50872000e+00
7.580070e+01 7.02102000e+00
7.666490e+01 6.39569000e+00
7.752920e+01 6.01405000e+00
7.839340e+01 5.75682000e+00
7.925770e+01 5.57079000e+00
8.098620e+01 5.31651000e+00
8.271480e+01 5.14676000e+00
8.617180e+01 4.92358000e+00
8.962890e+01 4.77334000e+00
9.308590e+01 4.65850000e+00
1.000000e+02 4.48316000e+00
1.125000e+02 4.25451000e+00
1.250000e+02 4.08282000e+00
1.500000e+02 3.82896000e+00
1.750000e+02 3.64504000e+00
2.000000e+02 3.50380000e+00
2.240900e+02 3.39487000e+00
2.361350e+02 3.34792000e+00
2.421580e+02 3.32618000e+00
2.451690e+02 3.31639000e+00
2.466740e+02 3.31442000e+00
2.470510e+02 3.31645000e+00
2.474270e+02 3.32446000e+00
2.476150e+02 3.33650000e+00
2.478040e+02 3.37064000e+00
2.478980e+02 3.41648000e+00
2.479450e+02 3.46064000e+00
2.479920e+02 3.53759000e+00
2.480390e+02 3.69050000e+00
2.480620e+02 3.83013000e+00
2.480860e+02 4.06114000e+00
2.481090e+02 4.48532000e+00
2.481210e+02 4.84201000e+00
2.481330e+02 5.37670000e+00
2.481450e+02 6.24090000e+00
2.481560e+02 7.71461000e+00
2.481680e+02 1.04863000e+01
2.481800e+02 1.58811000e+01
2.481900e+02 2.34623000e+01
2.482000e+02 2.84481000e+01
2.482100e+02 2.33831000e+01
2.482200e+02 1.58821000e+01
2.482310e+02 1.06507000e+01
2.482420e+02 7.92180000e+00
2.482540e+02 6.40707000e+00
2.482650e+02 5.51961000e+00
2.482760e+02 4.95385000e+00
2.482870e+02 4.57982000e+00
2.483090e+02 4.12925000e+00
2.483320e+02 3.87903000e+00
2.483540e+02 3.72755000e+00
2.483980e+02 3.56043000e+00
2.484430e+02 3.47551000e+00
2.484870e+02 3.42658000e+00
2.485760e+02 3.37524000e+00
2.487540e+02 3.33603000e+00
2.489320e+02 3.32132000e+00
2.492880e+02 3.30973000e+00
2.496450e+02 3.30482000e+00
2.510690e+02 3.29638000e+00
2.539180e+02 3.28602000e+00
2.596150e+02 3.26745000e+00
2.710100e+02 3.23275000e+00
2.938000e+02 3.17043000e+00
3.165900e+02 3.11580000e+00
3.279850e+02 3.09090000e+00
3.336830e+02 3.07915000e+00
3.365310e+02 3.07408000e+00
3.379560e+02 3.07426000e+00
3.383120e+02 3.07668000e+00
3.386680e+02 3.08474000e+00
3.388460e+02 3.09634000e+00
3.390240e+02 3.12867000e+00
3.391130e+02 3.17176000e+00
3.392020e+02 3.28485000e+00
3.392460e+02 3.42646000e+00
3.392690e+02 3.55567000e+00
3.392910e+02 3.76734000e+00
3.393130e+02 4.15245000e+00
3.393240e+02 4.47145000e+00
3.393350e+02 4.94908000e+00
3.393470e+02 5.71275000e+00
3.393580e+02 6.99346000e+00
3.393690e+02 9.31726000e+00
3.393800e+02 1.37164000e+01
3.393900e+02 2.01270000e+01
3.394000e+02 2.43393000e+01
3.394100e+02 2.00600000e+01
3.394200e+02 1.37171000e+01
3.394300e+02 9.66959000e+00
3.394400e+02 7.39908000e+00
