73-Ta_n-g
> 73-Ta-181:1.000000
1.000000e-05 1.05505000e+03
1.250000e-05 9.43664000e+02
1.500000e-05 8.61444000e+02
2.000000e-05 7.46033000e+02
2.750000e-05 6.36221000e+02
3.500000e-05 5.63950000e+02
4.250000e-05 5.11778000e+02
5.000000e-05 4.71837000e+02
6.250000e-05 4.22025000e+02
7.500000e-05 3.85256000e+02
1.000000e-04 3.33643000e+02
1.250000e-04 2.98422000e+02
1.500000e-04 2.72422000e+02
2.000000e-04 2.35928000e+02
2.750000e-04 2.01204000e+02
3.500000e-04 1.78352000e+02
4.250000e-04 1.61855000e+02
5.000000e-04 1.49226000e+02
6.250000e-04 1.33476000e+02
7.500000e-04 1.21851000e+02
1.000000e-03 1.05533000e+02
1.250000e-03 9.43978000e+01
1.500000e-03 8.61788000e+01
2.000000e-03 7.46431000e+01
2.750000e-03 6.36687000e+01
3.500000e-03 5.64477000e+01
4.250000e-03 5.12358000e+01
5.000000e-03 4.72466000e+01
6.250000e-03 4.22729000e+01
7.500000e-03 3.86027000e+01
1.000000e-02 3.34535000e+01
1.250000e-02 2.99420000e+01
1.500000e-02 2.73517000e+01
2.000000e-02 2.37194000e+01
2.530000e-02 2.11196000e+01
3.147500e-02 1.89668000e+01
3.765000e-02 1.73712000e+01
5.000000e-02 1.51252000e+01
6.250000e-02 1.35753000e+01
7.500000e-02 1.24357000e+01
1.000000e-01 1.08456000e+01
1.250000e-01 9.76995000e+00
1.500000e-01 8.98323000e+00
2.000000e-01 7.89485000e+00
2.750000e-01 6.88760000e+00
3.500000e-01 6.25101000e+00
5.000000e-01 5.49763000e+00
7.500000e-01 4.92049000e+00
8.400000e-01 4.81945000e+00
1.000000e+00 4.72752000e+00
1.500000e+00 4.96072000e+00
2.000000e+00 5.95034000e+00
2.562900e+00 8.66303000e+00
2.844350e+00 1.14352000e+01
3.125800e+00 1.64709000e+01
3.394350e+00 2.63304000e+01
3.528630e+00 3.55847000e+01
3.662900e+00 5.13978000e+01
3.797180e+00 8.18999000e+01
3.864310e+00 1.09146000e+02
3.931450e+00 1.53306000e+02
3.998590e+00 2.31998000e+02
4.032160e+00 2.96778000e+02
4.065730e+00 3.93437000e+02
4.099290e+00 5.46788000e+02
4.132860e+00 8.11068000e+02
4.149650e+00 1.02103000e+03
4.166430e+00 1.32311000e+03
4.183220e+00 1.77834000e+03
4.200000e+00 2.50497000e+03
4.212900e+00 3.39444000e+03
4.225800e+00 4.80442000e+03
4.238700e+00 7.14665000e+03
4.251600e+00 1.11060000e+04
4.265800e+00 1.77200000e+04
4.280000e+00 2.20935000e+04
4.294250e+00 1.76299000e+04
4.308500e+00 1.09887000e+04
4.319310e+00 7.55993000e+03
4.330110e+00 5.35388000e+03
4.340920e+00 3.92834000e+03
4.351720e+00 2.97926000e+03
4.373330e+00 1.85876000e+03
4.394940e+00 1.25926000e+03
4.416550e+00 9.05490000e+02
4.438160e+00 6.80714000e+02
4.481380e+00 4.23223000e+02
4.524590e+00 2.87552000e+02
4.567810e+00 2.07670000e+02
4.611030e+00 1.56801000e+02
4.654250e+00 1.22467000e+02
4.740690e+00 8.04988000e+01
4.827130e+00 5.68478000e+01
4.913560e+00 4.22484000e+01
5.000000e+00 3.26241000e+01
5.156250e+00 2.19658000e+01
5.312500e+00 1.58263000e+01
5.468750e+00 1.19844000e+01
5.625000e+00 9.43141000e+00
5.937500e+00 6.37917000e+00
6.250000e+00 4.72204000e+00
6.562500e+00 3.75410000e+00
6.875000e+00 3.17368000e+00
7.500000e+00 2.68485000e+00
8.125000e+00 2.86019000e+00
8.437500e+00 3.26196000e+00
8.750000e+00 4.03940000e+00
9.062500e+00 5.55639000e+00
9.218750e+00 6.86116000e+00
9.375000e+00 8.86421000e+00
9.531250e+00 1.21466000e+01
9.687500e+00 1.80573000e+01
9.765630e+00 2.29662000e+01
9.843750e+00 3.03532000e+01
9.921880e+00 4.22145000e+01
1.000000e+01 6.30479000e+01
1.007760e+01 1.04367000e+02
1.011630e+01 1.42463000e+02
1.015510e+01 2.06074000e+02
1.017450e+01 2.55162000e+02
1.019390e+01 3.23982000e+02
1.021330e+01 4.24479000e+02
1.023270e+01 5.78792000e+02
1.025200e+01 8.31781000e+02
1.027140e+01 1.28168000e+03
1.028110e+01 1.64448000e+03
1.029080e+01 2.16367000e+03
1.030050e+01 2.92108000e+03
1.031020e+01 4.02210000e+03
1.032510e+01 6.42627000e+03
1.034000e+01 8.02292000e+03
1.035490e+01 6.41586000e+03
1.036980e+01 4.00962000e+03
1.038370e+01 2.54573000e+03
1.039760e+01 1.69379000e+03
1.041150e+01 1.18726000e+03
1.042530e+01 8.70681000e+02
1.045310e+01 5.19601000e+02
1.048090e+01 3.42692000e+02
1.050860e+01 2.42146000e+02
1.053640e+01 1.79906000e+02
1.059190e+01 1.10301000e+02
1.064740e+01 7.44250000e+01
1.070300e+01 5.35927000e+01
1.075850e+01 4.04491000e+01
1.081400e+01 3.16367000e+01
1.092510e+01 2.09299000e+01
1.103610e+01 1.49310000e+01
1.114720e+01 1.12415000e+01
1.125820e+01 8.81644000e+00
1.148030e+01 5.94011000e+00
1.170240e+01 4.38311000e+00
1.192460e+01 3.47111000e+00
1.214670e+01 2.92357000e+00
1.259090e+01 2.50174000e+00
1.281300e+01 2.59827000e+00
1.303510e+01 3.01803000e+00
1.325720e+01 4.13615000e+00
1.336820e+01 5.30563000e+00
1.347930e+01 7.44164000e+00
1.359040e+01 1.18881000e+01
1.364590e+01 1.61438000e+01
1.370140e+01 2.35251000e+01
1.375690e+01 3.80067000e+01
1.378470e+01 5.11047000e+01
1.381250e+01 7.25232000e+01
1.384020e+01 1.10965000e+02
1.385410e+01 1.42629000e+02
1.386800e+01 1.89637000e+02
1.388190e+01 2.63089000e+02
1.389570e+01 3.85043000e+02
1.390270e+01 4.76980000e+02
1.390960e+01 6.01025000e+02
1.391660e+01 7.69688000e+02
1.392350e+01 9.97086000e+02
1.393010e+01 1.27586000e+03
1.393680e+01 1.59381000e+03
1.395000e+01 1.99086000e+03
1.396330e+01 1.59224000e+03
1.397650e+01 9.95144000e+02
1.398830e+01 6.45118000e+02
1.400000e+01 4.36235000e+02
1.401180e+01 3.09372000e+02
1.402360e+01 2.28945000e+02
1.404710e+01 1.38403000e+02
1.407060e+01 9.21196000e+01
1.409420e+01 6.55879000e+01
1.411770e+01 4.90562000e+01
1.416470e+01 3.04571000e+01
1.421180e+01 2.08141000e+01
1.425890e+01 1.51892000e+01
1.430590e+01 1.16270000e+01
1.435300e+01 9.23058000e+00
1.444710e+01 6.30512000e+00
1.454120e+01 4.65434000e+00
1.472940e+01 2.95208000e+00
1.491770e+01 2.13306000e+00
1.510590e+01 1.67457000e+00
1.548240e+01 1.20323000e+00
1.585890e+01 9.78488000e-01
1.623530e+01 8.57802000e-01
1.698830e+01 7.60990000e-01
1.774120e+01 7.81868000e-01
1.849410e+01 9.54450000e-01
1.887060e+01 1.17570000e+00
1.924710e+01 1.66721000e+00
1.943530e+01 2.17553000e+00
1.962350e+01 3.14985000e+00
1.971770e+01 4.01798000e+00
1.981180e+01 5.42475000e+00
1.990590e+01 7.93648000e+00
1.995300e+01 1.00106000e+01
2.000000e+01 1.31162000e+01
2.006740e+01 2.11748000e+01
2.010110e+01 2.84951000e+01
2.013480e+01 4.05239000e+01
2.016840e+01 6.22874000e+01
2.018530e+01 8.03812000e+01
2.020210e+01 1.07463000e+02
2.021900e+01 1.50317000e+02
2.023580e+01 2.22641000e+02
2.024420e+01 2.78047000e+02
2.025270e+01 3.53861000e+02
2.026110e+01 4.58627000e+02
2.026950e+01 6.02296000e+02
2.027710e+01 7.70622000e+02
2.028480e+01 9.62639000e+02
2.030000e+01 1.20247000e+03
2.030760e+01 1.13153000e+03
2.031530e+01 9.61904000e+02
2.033050e+01 6.01392000e+02
2.033970e+01 4.47135000e+02
2.034880e+01 3.38013000e+02
2.036710e+01 2.06246000e+02
2.038540e+01 1.36455000e+02
2.040370e+01 9.62326000e+01
2.042210e+01 7.12788000e+01
2.044040e+01 5.48484000e+01
2.047700e+01 3.53618000e+01
2.051360e+01 2.47390000e+01
2.055020e+01 1.83447000e+01
2.062340e+01 1.13820000e+01
2.069670e+01 7.88933000e+00
2.076990e+01 5.90254000e+00
2.091640e+01 3.86593000e+00
2.106280e+01 2.92392000e+00
2.120930e+01 2.44237000e+00
2.150220e+01 2.08782000e+00
2.179510e+01 2.15925000e+00
2.208810e+01 2.63703000e+00
2.223450e+01 3.18136000e+00
2.238100e+01 4.35380000e+00
2.245420e+01 5.65381000e+00
2.249080e+01 6.78808000e+00
2.252740e+01 8.62821000e+00
2.256410e+01 1.19791000e+01
2.258240e+01 1.48230000e+01
2.260070e+01 1.92029000e+01
2.261900e+01 2.64532000e+01
2.263730e+01 3.95966000e+01
2.265560e+01 6.62539000e+01
2.266480e+01 8.99653000e+01
2.267390e+01 1.25480000e+02
2.268700e+01 1.98394000e+02
2.270000e+01 2.46933000e+02
2.271310e+01 1.98422000e+02
2.272610e+01 1.25622000e+02
2.273500e+01 9.08775000e+01
2.274400e+01 6.74968000e+01
2.276190e+01 4.10274000e+01
2.277970e+01 2.79264000e+01
2.279760e+01 2.07388000e+01
2.283330e+01 1.37456000e+01
2.286910e+01 1.07254000e+01
2.294060e+01 8.58524000e+00
2.301200e+01 8.30990000e+00
2.315500e+01 9.95331000e+00
2.329800e+01 1.41635000e+01
2.336940e+01 1.78317000e+01
2.344090e+01 2.34034000e+01
2.351240e+01 3.23631000e+01
2.358390e+01 4.80336000e+01
2.361960e+01 6.06657000e+01
2.365540e+01 7.91215000e+01
2.369110e+01 1.07579000e+02
2.372680e+01 1.54716000e+02
2.376260e+01 2.40926000e+02
2.378050e+01 3.13383000e+02
2.379830e+01 4.23119000e+02
2.381620e+01 5.99350000e+02
2.383410e+01 9.03577000e+02
2.385190e+01 1.47374000e+03
2.386090e+01 1.94327000e+03
2.386980e+01 2.60185000e+03
2.388490e+01 4.16007000e+03
2.390000e+01 5.19701000e+03
2.391510e+01 4.15692000e+03
2.393020e+01 2.59815000e+03
2.394200e+01 1.77044000e+03
2.395380e+01 1.24468000e+03
2.396560e+01 9.08453000e+02
2.397740e+01 6.86397000e+02
2.400100e+01 4.26392000e+02
2.402460e+01 2.88332000e+02
2.404820e+01 2.07215000e+02
2.407180e+01 1.55848000e+02
2.411900e+01 9.71384000e+01
2.416620e+01 6.62437000e+01
2.421340e+01 4.80601000e+01
2.426060e+01 3.64718000e+01
2.430780e+01 2.86440000e+01
2.440230e+01 1.90562000e+01
2.449670e+01 1.36352000e+01
2.459110e+01 1.02766000e+01
2.468550e+01 8.05378000e+00
2.487430e+01 5.38920000e+00
2.506310e+01 3.91574000e+00
2.525190e+01 3.01819000e+00
2.544080e+01 2.43292000e+00
2.581840e+01 1.74599000e+00
2.619600e+01 1.38014000e+00
2.695130e+01 1.04536000e+00
2.770660e+01 9.39196000e-01
2.846190e+01 9.56744000e-01
2.921710e+01 1.17409000e+00
2.940600e+01 1.35802000e+00
2.959480e+01 1.81731000e+00
2.968920e+01 2.39339000e+00
2.973640e+01 2.92925000e+00
2.978360e+01 3.83917000e+00
2.983080e+01 5.57842000e+00
2.985440e+01 7.11295000e+00
