79-Au_n-tot
> 79-Au-197:1.000000
1.000000e-05 4.92236000e+03
1.250000e-05 4.40354000e+03
1.500000e-05 4.02056000e+03
2.000000e-05 3.48297000e+03
2.750000e-05 2.97146000e+03
3.500000e-05 2.63483000e+03
4.250000e-05 2.39181000e+03
5.000000e-05 2.20576000e+03
6.250000e-05 1.97374000e+03
7.500000e-05 1.80247000e+03
1.000000e-04 1.56206000e+03
1.250000e-04 1.39800000e+03
1.500000e-04 1.27690000e+03
2.000000e-04 1.10691000e+03
2.750000e-04 9.45169000e+02
3.500000e-04 8.38727000e+02
4.250000e-04 7.61888000e+02
5.000000e-04 7.03064000e+02
6.250000e-04 6.29707000e+02
7.500000e-04 5.75559000e+02
1.000000e-03 4.99558000e+02
1.250000e-03 4.47697000e+02
1.500000e-03 4.09419000e+02
2.000000e-03 3.55695000e+02
2.750000e-03 3.04590000e+02
3.500000e-03 2.70966000e+02
4.250000e-03 2.46699000e+02
5.000000e-03 2.28127000e+02
6.250000e-03 2.04973000e+02
7.500000e-03 1.87890000e+02
1.000000e-02 1.63927000e+02
1.250000e-02 1.47590000e+02
1.500000e-02 1.35542000e+02
2.000000e-02 1.18654000e+02
2.530000e-02 1.06572000e+02
3.147500e-02 9.65729000e+01
3.765000e-02 8.91662000e+01
5.000000e-02 7.87497000e+01
6.250000e-02 7.15695000e+01
7.500000e-02 6.62963000e+01
1.000000e-01 5.89500000e+01
1.250000e-01 5.39910000e+01
1.500000e-01 5.03718000e+01
2.000000e-01 4.53795000e+01
2.750000e-01 4.07818000e+01
3.500000e-01 3.78934000e+01
5.000000e-01 3.45046000e+01
7.500000e-01 3.19543000e+01
1.000000e+00 3.11368000e+01
1.500000e+00 3.21992000e+01
2.000000e+00 3.62787000e+01
2.705100e+00 5.02210000e+01
3.057650e+00 6.48458000e+01
3.410200e+00 9.17138000e+01
3.586480e+00 1.14245000e+02
3.762750e+00 1.48317000e+02
3.939030e+00 2.03212000e+02
4.027160e+00 2.44134000e+02
4.115300e+00 2.99780000e+02
4.203440e+00 3.78086000e+02
4.291580e+00 4.93108000e+02
4.379710e+00 6.71657000e+02
4.467850e+00 9.69990000e+02
4.511920e+00 1.20007000e+03
4.555990e+00 1.52235000e+03
4.600060e+00 1.99222000e+03
4.644130e+00 2.71227000e+03
4.688190e+00 3.88733000e+03
4.732260e+00 5.96276000e+03
4.754300e+00 7.62351000e+03
4.776330e+00 9.98641000e+03
4.798370e+00 1.34058000e+04
4.820400e+00 1.83330000e+04
4.855200e+00 2.93603000e+04
4.890000e+00 3.67251000e+04
4.924800e+00 2.94056000e+04
4.959600e+00 1.84066000e+04
5.000000e+00 1.05484000e+04
5.039060e+00 6.62048000e+03
5.078130e+00 4.46522000e+03
5.117190e+00 3.19139000e+03
5.156250e+00 2.38659000e+03
5.234380e+00 1.47436000e+03
5.312500e+00 1.00031000e+03
5.390630e+00 7.24107000e+02
5.468750e+00 5.49550000e+02
5.625000e+00 3.49912000e+02
5.781250e+00 2.44473000e+02
5.937500e+00 1.82085000e+02
6.093750e+00 1.42119000e+02
6.250000e+00 1.14969000e+02
6.562500e+00 8.14610000e+01
6.875000e+00 6.23073000e+01
7.187500e+00 5.03088000e+01
7.500000e+00 4.22778000e+01
8.125000e+00 3.24865000e+01
8.750000e+00 2.69304000e+01
9.375000e+00 2.34471000e+01
1.000000e+01 2.11014000e+01
1.125000e+01 1.81967000e+01
1.250000e+01 1.64974000e+01
1.375000e+01 1.53909000e+01
1.500000e+01 1.46125000e+01
1.750000e+01 1.35793000e+01
2.000000e+01 1.29065000e+01
2.329820e+01 1.22824000e+01
2.659650e+01 1.18111000e+01
3.319300e+01 1.10659000e+01
3.978940e+01 1.03835000e+01
4.308770e+01 1.00134000e+01
4.473680e+01 9.82301000e+00
4.514910e+01 9.78677000e+00
4.556140e+01 9.78442000e+00
4.576750e+01 9.82951000e+00
4.597360e+01 9.99577000e+00
4.607670e+01 1.02229000e+01
4.612820e+01 1.04313000e+01
4.617980e+01 1.07695000e+01
4.623130e+01 1.13607000e+01
4.628280e+01 1.25039000e+01
4.630860e+01 1.35005000e+01
4.633440e+01 1.50344000e+01
4.636010e+01 1.74810000e+01
4.638590e+01 2.14140000e+01
4.641800e+01 2.87647000e+01
4.645000e+01 3.38799000e+01
4.648210e+01 2.92697000e+01
4.651410e+01 2.20384000e+01
4.654130e+01 1.78848000e+01
4.656860e+01 1.53261000e+01
4.659580e+01 1.37310000e+01
4.662300e+01 1.26969000e+01
4.667750e+01 1.15034000e+01
4.673200e+01 1.08743000e+01
4.684090e+01 1.02650000e+01
4.694980e+01 9.98483000e+00
4.716770e+01 9.72814000e+00
4.738560e+01 9.60402000e+00
4.825710e+01 9.36630000e+00
5.000000e+01 9.04216000e+00
5.196570e+01 8.67513000e+00
5.294860e+01 8.49699000e+00
5.393140e+01 8.35393000e+00
5.491430e+01 8.32539000e+00
5.589710e+01 8.66862000e+00
5.638850e+01 9.25013000e+00
5.688000e+01 1.07007000e+01
5.712570e+01 1.23742000e+01
5.737140e+01 1.62684000e+01
5.749420e+01 2.08182000e+01
5.755570e+01 2.48501000e+01
5.761710e+01 3.13907000e+01
5.767850e+01 4.31056000e+01
5.774000e+01 6.72093000e+01
5.777070e+01 8.98963000e+01
5.778600e+01 1.06310000e+02
5.780140e+01 1.27874000e+02
5.781670e+01 1.56736000e+02
5.783210e+01 1.95905000e+02
5.784750e+01 2.49599000e+02
5.786280e+01 3.22574000e+02
5.787740e+01 4.12124000e+02
5.789190e+01 5.15554000e+02
5.792100e+01 6.50624000e+02
5.793560e+01 6.17739000e+02
5.795010e+01 5.31129000e+02
5.797920e+01 3.42459000e+02
5.801100e+01 2.11688000e+02
5.804270e+01 1.41538000e+02
5.807440e+01 1.02458000e+02
5.810620e+01 7.92026000e+01
5.816970e+01 5.47457000e+01
5.823320e+01 4.32913000e+01
5.836010e+01 3.43296000e+01
5.848710e+01 3.25005000e+01
5.874110e+01 3.76939000e+01
5.899500e+01 5.33460000e+01
5.912200e+01 6.75115000e+01
5.924900e+01 8.93512000e+01
5.937590e+01 1.24691000e+02
5.950290e+01 1.86149000e+02
5.956640e+01 2.34994000e+02
5.962990e+01 3.05019000e+02
5.969340e+01 4.09823000e+02
5.975690e+01 5.75463000e+02
5.982030e+01 8.56527000e+02
5.988380e+01 1.37960000e+03
5.991560e+01 1.81927000e+03
5.994730e+01 2.47307000e+03
5.997910e+01 3.47119000e+03
6.001080e+01 4.99816000e+03
6.005490e+01 8.11851000e+03
6.009900e+01 1.03041000e+04
6.014310e+01 8.37273000e+03
6.018720e+01 5.31759000e+03
6.022240e+01 3.64373000e+03
6.025760e+01 2.57962000e+03
6.029280e+01 1.89922000e+03
6.032800e+01 1.44952000e+03
6.039830e+01 9.21027000e+02
6.046870e+01 6.38443000e+02
6.053910e+01 4.70979000e+02
6.060950e+01 3.63864000e+02
6.075020e+01 2.39647000e+02
6.089090e+01 1.72876000e+02
6.103170e+01 1.32713000e+02
6.117240e+01 1.06565000e+02
6.131320e+01 8.85189000e+01
