80-Hg_n-g
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
1.000000e-05 1.90529875e+04
1.250000e-05 1.70414472e+04
1.500000e-05 1.55566167e+04
2.000000e-05 1.34723459e+04
2.234850e-05 1.28513498e+04
2.750000e-05 1.14891778e+04
2.852280e-05 1.13111858e+04
3.469700e-05 1.02367255e+04
3.500000e-05 1.01839961e+04
4.250000e-05 9.24175878e+03
5.000000e-05 8.52041250e+03
5.939400e-05 7.84433155e+03
6.250000e-05 7.62079452e+03
7.500000e-05 6.95672700e+03
7.969700e-05 6.78159047e+03
1.000000e-04 6.02455507e+03
1.087880e-04 5.80093237e+03
1.250000e-04 5.38839596e+03
1.500000e-04 4.91879135e+03
1.543940e-04 4.86086098e+03
2.000000e-04 4.25959323e+03
2.075770e-04 4.19622457e+03
2.750000e-04 3.63234669e+03
3.063660e-04 3.45968363e+03
3.500000e-04 3.21948809e+03
4.051550e-04 3.00029448e+03
4.250000e-04 2.92142775e+03
5.000000e-04 2.69324120e+03
6.250000e-04 2.40861914e+03
6.501550e-04 2.36633456e+03
7.500000e-04 2.19849913e+03
8.003100e-04 2.13913387e+03
1.000000e-03 1.90350202e+03
1.250000e-03 1.70214544e+03
1.295310e-03 1.67519985e+03
1.500000e-03 1.55347205e+03
1.590620e-03 1.51563635e+03
2.000000e-03 1.34471205e+03
2.585630e-03 1.18952095e+03
2.750000e-03 1.14596319e+03
3.171250e-03 1.07244559e+03
3.500000e-03 1.01507140e+03
4.085630e-03 9.41235438e+02
4.250000e-03 9.20511776e+02
5.000000e-03 8.48072170e+02
6.250000e-03 7.57649511e+02
6.332500e-03 7.53239074e+02
7.500000e-03 6.90824860e+02
8.166250e-03 6.65786169e+02
1.000000e-02 5.96871213e+02
1.250000e-02 5.32611433e+02
1.265500e-02 5.29663890e+02
1.500000e-02 4.85070553e+02
1.632750e-02 4.67297884e+02
2.000000e-02 4.18130335e+02
2.530000e-02 3.69935828e+02
3.147500e-02 3.29775301e+02
3.765000e-02 2.99805345e+02
5.000000e-02 2.57220078e+02
5.581650e-02 2.43367737e+02
6.250000e-02 2.27450618e+02
7.107480e-02 2.12247968e+02
7.500000e-02 2.05288824e+02
8.633300e-02 1.91027194e+02
1.000000e-01 1.73828466e+02
1.250000e-01 1.52055541e+02
1.473660e-01 1.37502028e+02
1.500000e-01 1.35788099e+02
2.000000e-01 1.12620101e+02
2.375000e-01 1.00121355e+02
2.694320e-01 9.16497596e+01
2.750000e-01 9.01725732e+01
3.500000e-01 7.51960941e+01
3.847160e-01 7.07521463e+01
5.000000e-01 5.59949392e+01
5.135650e-01 5.50298238e+01
7.500000e-01 3.82082016e+01
7.567830e-01 3.79337163e+01
1.000000e+00 2.80916968e+01
1.001830e+00 2.80516523e+01
1.250000e+00 2.26211979e+01
1.490100e+00 1.73915290e+01
1.500000e+00 1.71758982e+01
1.978360e+00 1.18385533e+01
2.000000e+00 1.15971054e+01
2.750000e+00 7.20686456e+00
2.965710e+00 6.54400082e+00
3.500000e+00 4.90224289e+00
3.931420e+00 4.12683284e+00
4.250000e+00 3.55426300e+00
5.000000e+00 2.69803422e+00
6.250000e+00 1.84996713e+00
6.418780e+00 1.78429040e+00
7.500000e+00 1.36360805e+00
7.837550e+00 1.28384674e+00
8.750000e+00 1.06827184e+00
1.000000e+01 8.74895998e-01
1.250000e+01 6.62322441e-01
1.282490e+01 6.50413015e-01
1.500000e+01 5.70730358e-01
1.564980e+01 5.68306110e-01
1.625000e+01 5.66077148e-01
1.750000e+01 5.73257250e-01
1.875000e+01 6.31653202e-01
1.937500e+01 6.83650874e-01
2.000000e+01 7.69005174e-01
2.037410e+01 8.61360167e-01
2.074820e+01 9.95051777e-01
2.112230e+01 1.20467192e+00
2.149640e+01 1.57045017e+00
2.168340e+01 1.86945024e+00
2.187040e+01 2.31567731e+00
2.205750e+01 3.02772785e+00
2.224450e+01 4.27252200e+00
2.233810e+01 5.27997378e+00
2.243160e+01 6.76001020e+00
2.252510e+01 9.06220273e+00
2.261860e+01 1.29274420e+01
2.266540e+01 1.59256868e+01
2.271210e+01 2.01514347e+01
2.273550e+01 2.29420211e+01
2.275890e+01 2.63652039e+01
2.278230e+01 3.06232746e+01
2.280570e+01 3.60042663e+01
2.282900e+01 4.29273147e+01
2.285240e+01 5.20178443e+01
2.287580e+01 6.42341684e+01
2.289920e+01 8.10837508e+01
2.292260e+01 1.04994087e+02
2.294590e+01 1.39914790e+02
2.296930e+01 1.92090575e+02
2.299270e+01 2.69980984e+02
2.302640e+01 4.31104288e+02
2.306000e+01 5.38150308e+02
2.307690e+01 5.06283761e+02
2.309370e+01 4.30173342e+02
2.312740e+01 2.68762160e+02
2.315370e+01 1.83460715e+02
2.317990e+01 1.29202855e+02
2.320610e+01 9.44658571e+01
2.323240e+01 7.15208795e+01
2.328490e+01 4.46348378e+01
2.333230e+01 3.17424216e+01
2.333740e+01 3.03555082e+01
2.338980e+01 2.19681287e+01
2.344230e+01 1.66566020e+01
2.354730e+01 1.05896392e+01
2.365230e+01 7.40288973e+00
2.375000e+01 5.65975507e+00
2.375720e+01 5.53129512e+00
2.386220e+01 4.34259841e+00
2.396720e+01 3.54278155e+00
2.417710e+01 2.57082098e+00
2.438710e+01 2.02956258e+00
2.459700e+01 1.70124526e+00
2.480690e+01 1.49007345e+00
2.499840e+01 1.38111301e+00
2.522680e+01 1.26810162e+00
2.563720e+01 1.18468540e+00
2.564670e+01 1.18275457e+00
2.571400e+01 1.17853140e+00
2.606660e+01 1.15668886e+00
2.648650e+01 1.16254640e+00
2.666450e+01 1.17543019e+00
2.732630e+01 1.29601050e+00
2.749760e+01 1.33379837e+00
2.750000e+01 1.33466422e+00
2.816600e+01 1.57526513e+00
2.833060e+01 1.63773045e+00
2.900580e+01 2.06669414e+00
2.916370e+01 2.16854744e+00
2.984560e+01 2.96503369e+00
2.999680e+01 3.14276225e+00
3.041330e+01 3.95450525e+00
3.082980e+01 5.17241038e+00
3.124640e+01 7.11898036e+00
3.127440e+01 7.34721762e+00
3.142800e+01 8.59926332e+00
3.152510e+01 9.39093087e+00
3.166290e+01 1.05150944e+01
3.187120e+01 1.32512954e+01
3.207940e+01 1.72485799e+01
3.228770e+01 2.34164256e+01
3.249590e+01 3.36480861e+01
