83-Bi_n-g
> 83-Bi-209:1.000000
1.000000e-05 1.70021000e+00
1.250000e-05 1.52072000e+00
1.500000e-05 1.38822000e+00
2.000000e-05 1.20223000e+00
2.750000e-05 1.02527000e+00
3.500000e-05 9.08801000e-01
4.250000e-05 8.24724000e-01
5.000000e-05 7.60358000e-01
6.250000e-05 6.80085000e-01
7.500000e-05 6.20830000e-01
1.000000e-04 5.37654000e-01
1.250000e-04 4.80893000e-01
1.500000e-04 4.38993000e-01
2.000000e-04 3.80179000e-01
2.750000e-04 3.24218000e-01
3.500000e-04 2.87388000e-01
4.250000e-04 2.60801000e-01
5.000000e-04 2.40446000e-01
6.250000e-04 2.15062000e-01
7.500000e-04 1.96324000e-01
1.000000e-03 1.70022000e-01
1.250000e-03 1.52072000e-01
1.500000e-03 1.38822000e-01
2.000000e-03 1.20224000e-01
2.750000e-03 1.02527000e-01
3.500000e-03 9.08807000e-02
4.250000e-03 8.24730000e-02
5.000000e-03 7.60365000e-02
6.250000e-03 6.80092000e-02
7.500000e-03 6.20838000e-02
1.000000e-02 5.37664000e-02
1.250000e-02 4.80904000e-02
1.500000e-02 4.39005000e-02
2.000000e-02 3.80193000e-02
2.530000e-02 3.38036000e-02
3.147500e-02 3.03072000e-02
3.765000e-02 2.77109000e-02
5.000000e-02 2.40468000e-02
6.250000e-02 2.15086000e-02
7.500000e-02 1.96351000e-02
1.000000e-01 1.70053000e-02
1.250000e-01 1.52107000e-02
1.500000e-01 1.38860000e-02
2.000000e-01 1.20268000e-02
2.750000e-01 1.02579000e-02
3.500000e-01 9.09389000e-03
5.000000e-01 7.61060000e-03
7.500000e-01 6.21690000e-03
1.000000e+00 5.38648000e-03
1.500000e+00 4.40211000e-03
2.000000e+00 3.81587000e-03
2.750000e+00 3.25871000e-03
3.500000e+00 2.89255000e-03
5.000000e+00 2.42684000e-03
7.500000e+00 1.99076000e-03
1.000000e+01 1.73214000e-03
1.500000e+01 1.42767000e-03
2.000000e+01 1.24820000e-03
2.750000e+01 1.07990000e-03
3.500000e+01 9.71295000e-04
5.000000e+01 8.37175000e-04
7.500000e+01 7.19563000e-04
1.000000e+02 6.57545000e-04
1.500000e+02 6.02491000e-04
2.000000e+02 5.92607000e-04
2.750000e+02 6.28798000e-04
3.500000e+02 7.23681000e-04
4.250000e+02 9.04192000e-04
5.000000e+02 1.24977000e-03
5.372080e+02 1.54212000e-03
5.744160e+02 1.98919000e-03
6.116230e+02 2.72176000e-03
6.488310e+02 4.04811000e-03
6.674350e+02 5.15925000e-03
6.860390e+02 6.84890000e-03
7.046430e+02 9.60587000e-03
7.232470e+02 1.45733000e-02
7.325490e+02 1.87135000e-02
7.418500e+02 2.49740000e-02
7.511520e+02 3.51036000e-02
7.604540e+02 5.31122000e-02
7.651050e+02 6.79098000e-02
7.697560e+02 8.99625000e-02
7.744070e+02 1.24921000e-01
7.790580e+02 1.85212000e-01
7.813840e+02 2.33244000e-01
7.837090e+02 3.02679000e-01
7.860350e+02 4.08282000e-01
7.883600e+02 5.79900000e-01
7.906860e+02 8.85061000e-01
7.918480e+02 1.13425000e+00
7.930110e+02 1.50093000e+00
7.941740e+02 2.06718000e+00
7.953370e+02 2.99193000e+00
7.964990e+02 4.59216000e+00
7.976620e+02 7.43960000e+00
7.988310e+02 1.18925000e+01
8.000000e+02 1.48387000e+01
8.011690e+02 1.18476000e+01
8.023380e+02 7.39642000e+00
8.031100e+02 5.33853000e+00
8.038820e+02 3.93364000e+00
8.054270e+02 2.31231000e+00
8.069710e+02 1.49224000e+00
8.085150e+02 1.03375000e+00
8.100590e+02 7.55112000e-01
8.116040e+02 5.74346000e-01
8.146920e+02 3.62985000e-01
8.177800e+02 2.49373000e-01
8.208690e+02 1.81568000e-01
8.239570e+02 1.37958000e-01
8.270460e+02 1.08296000e-01
8.332230e+02 7.17241000e-02
8.394000e+02 5.09174000e-02
8.455770e+02 3.79759000e-02
8.517540e+02 2.93891000e-02
8.641070e+02 1.90714000e-02
8.764610e+02 1.33528000e-02
8.888150e+02 9.86139000e-03
9.011690e+02 7.57730000e-03
9.258770e+02 4.87421000e-03
9.505850e+02 3.40059000e-03
9.752920e+02 2.51250000e-03
1.000000e+03 1.93793000e-03
1.031250e+03 1.46330000e-03
1.062500e+03 1.15210000e-03
1.125000e+03 7.85637000e-04
1.187500e+03 5.90211000e-04
1.250000e+03 4.77795000e-04
1.375000e+03 3.72636000e-04
1.500000e+03 3.49005000e-04
1.625000e+03 3.79816000e-04
1.750000e+03 4.74982000e-04
1.875000e+03 6.91828000e-04
1.937500e+03 8.97136000e-04
2.000000e+03 1.24120000e-03
2.037630e+03 1.57204000e-03
2.075250e+03 2.07369000e-03
2.112880e+03 2.88694000e-03
2.150500e+03 4.33521000e-03
2.169310e+03 5.52687000e-03
2.188130e+03 7.30494000e-03
2.206940e+03 1.01287000e-02
2.225750e+03 1.50113000e-02
2.244560e+03 2.45666000e-02
2.253970e+03 3.31984000e-02
2.263380e+03 4.73028000e-02
2.272780e+03 7.25925000e-02
2.277490e+03 9.34182000e-02
2.282190e+03 1.24329000e-01
2.286890e+03 1.72619000e-01
2.291590e+03 2.52790000e-01
2.296300e+03 3.94794000e-01
2.298650e+03 5.05749000e-01
2.301000e+03 6.55342000e-01
2.305500e+03 1.04937000e+00
2.310000e+03 1.31029000e+00
2.314500e+03 1.04408000e+00
2.319000e+03 6.50271000e-01
2.323020e+03 4.19671000e-01
2.327040e+03 2.82752000e-01
2.331060e+03 1.99975000e-01
2.335080e+03 1.47610000e-01
2.343120e+03 8.88346000e-02
2.351160e+03 5.88673000e-02
2.359190e+03 4.17157000e-02
2.367230e+03 3.10441000e-02
2.383310e+03 1.90556000e-02
2.399390e+03 1.28521000e-02
2.415460e+03 9.24094000e-03
2.431540e+03 6.95870000e-03
2.447620e+03 5.42648000e-03
2.479770e+03 3.56296000e-03
2.511930e+03 2.51742000e-03
2.544080e+03 1.87350000e-03
2.576240e+03 1.44947000e-03
2.640550e+03 9.44056000e-04
2.704850e+03 6.66367000e-04
2.769160e+03 4.98009000e-04
2.833470e+03 3.88588000e-04
2.962090e+03 2.60660000e-04
3.090710e+03 1.94091000e-04
3.219330e+03 1.69400000e-04
3.251480e+03 1.79136000e-04
3.283640e+03 2.22063000e-04
3.315790e+03 4.84905000e-04
3.331870e+03 1.55528000e-03
3.339910e+03 5.81539000e-03
3.341920e+03 1.01998000e-02
3.343920e+03 2.25863000e-02
3.344930e+03 3.96953000e-02
3.345930e+03 8.75375000e-02
3.346440e+03 1.52780000e-01
3.346690e+03 2.16666000e-01
3.346940e+03 3.30927000e-01
3.347190e+03 5.66574000e-01
3.347320e+03 7.92946000e-01
3.347440e+03 1.18317000e+00
3.347570e+03 1.95858000e+00
3.347630e+03 2.66569000e+00
3.347690e+03 3.80813000e+00
3.347760e+03 5.90588000e+00
3.347790e+03 7.68731000e+00
3.347820e+03 1.02774000e+01
3.347850e+03 1.45227000e+01
3.347880e+03 2.14907000e+01
3.347910e+03 3.40696000e+01
3.347940e+03 5.80514000e+01
3.347970e+03 9.33003000e+01
3.348000e+03 1.16020000e+02
3.348030e+03 9.32987000e+01
3.348060e+03 5.80504000e+01
3.348090e+03 3.29979000e+01
3.348120e+03 2.00867000e+01
3.348160e+03 1.32534000e+01
3.348190e+03 9.31878000e+00
3.348230e+03 6.87964000e+00
3.348260e+03 5.27450000e+00
3.348330e+03 3.39130000e+00
3.348400e+03 2.34580000e+00
3.348460e+03 1.72418000e+00
3.348600e+03 1.03883000e+00
3.348730e+03 6.91240000e-01
3.348870e+03 4.93832000e-01
3.349140e+03 2.87873000e-01
3.349410e+03 1.87998000e-01
