83-Bi_n-tot
> 83-Bi-209:1.000000
1.000000e-05 1.10004000e+01
1.250000e-05 1.08209000e+01
1.500000e-05 1.06884000e+01
2.000000e-05 1.05024000e+01
2.750000e-05 1.03255000e+01
3.500000e-05 1.02090000e+01
4.250000e-05 1.01249000e+01
5.000000e-05 1.00606000e+01
6.250000e-05 9.98030000e+00
7.500000e-05 9.92104000e+00
1.000000e-04 9.83787000e+00
1.250000e-04 9.78111000e+00
1.500000e-04 9.73921000e+00
2.000000e-04 9.68039000e+00
2.750000e-04 9.62443000e+00
3.500000e-04 9.58760000e+00
4.250000e-04 9.56101000e+00
5.000000e-04 9.54066000e+00
6.250000e-04 9.51527000e+00
7.500000e-04 9.49654000e+00
1.000000e-03 9.47023000e+00
1.250000e-03 9.45228000e+00
1.500000e-03 9.43903000e+00
2.000000e-03 9.42043000e+00
2.750000e-03 9.40274000e+00
3.500000e-03 9.39109000e+00
4.250000e-03 9.38268000e+00
5.000000e-03 9.37624000e+00
6.250000e-03 9.36822000e+00
7.500000e-03 9.36229000e+00
1.000000e-02 9.35397000e+00
1.250000e-02 9.34829000e+00
1.500000e-02 9.34410000e+00
2.000000e-02 9.33821000e+00
2.530000e-02 9.33399000e+00
3.147500e-02 9.33049000e+00
3.765000e-02 9.32789000e+00
5.000000e-02 9.32421000e+00
6.250000e-02 9.32166000e+00
7.500000e-02 9.31978000e+00
1.000000e-01 9.31712000e+00
1.250000e-01 9.31531000e+00
1.500000e-01 9.31396000e+00
2.000000e-01 9.31205000e+00
2.750000e-01 9.31021000e+00
3.500000e-01 9.30898000e+00
5.000000e-01 9.30736000e+00
7.500000e-01 9.30573000e+00
1.000000e+00 9.30466000e+00
1.500000e+00 9.30321000e+00
2.000000e+00 9.30215000e+00
2.750000e+00 9.30089000e+00
3.500000e+00 9.29982000e+00
5.000000e+00 9.29794000e+00
7.500000e+00 9.29513000e+00
1.000000e+01 9.29249000e+00
1.500000e+01 9.28739000e+00
2.000000e+01 9.28236000e+00
2.750000e+01 9.27482000e+00
3.500000e+01 9.26723000e+00
5.000000e+01 9.25177000e+00
7.500000e+01 9.22498000e+00
1.000000e+02 9.19671000e+00
1.500000e+02 9.13497000e+00
2.000000e+02 9.06489000e+00
2.750000e+02 8.93930000e+00
3.500000e+02 8.77903000e+00
4.250000e+02 8.56504000e+00
5.000000e+02 8.26087000e+00
5.372080e+02 8.05514000e+00
5.744160e+02 7.79186000e+00
6.116230e+02 7.44190000e+00
6.488310e+02 6.95337000e+00
6.674350e+02 6.62914000e+00
6.860390e+02 6.22713000e+00
7.046430e+02 5.72005000e+00
7.232470e+02 5.07609000e+00
7.325490e+02 4.69852000e+00
7.418500e+02 4.29786000e+00
7.511520e+02 3.92652000e+00
7.604540e+02 3.76200000e+00
7.651050e+02 3.91585000e+00
7.697560e+02 4.44960000e+00
7.744070e+02 5.78083000e+00
7.790580e+02 8.91919000e+00
7.813840e+02 1.18981000e+01
7.837090e+02 1.66928000e+01
7.860350e+02 2.47330000e+01
7.883600e+02 3.90276000e+01
7.906860e+02 6.66655000e+01
7.918480e+02 9.05399000e+01
7.930110e+02 1.27055000e+02
7.941740e+02 1.85645000e+02
7.953370e+02 2.85097000e+02
7.964990e+02 4.64269000e+02
7.976620e+02 7.97830000e+02
7.988310e+02 1.35274000e+03
8.000000e+02 1.78937000e+03
8.011690e+02 1.51370000e+03
8.023380e+02 1.00055000e+03
8.031100e+02 7.49634000e+02
8.038820e+02 5.73173000e+02
8.054270e+02 3.62417000e+02
8.069710e+02 2.51212000e+02
8.085150e+02 1.86641000e+02
8.100590e+02 1.45993000e+02
8.116040e+02 1.18730000e+02
8.146920e+02 8.53995000e+01
8.177800e+02 6.63828000e+01
8.208690e+02 5.43825000e+01
8.239570e+02 4.62476000e+01
8.270460e+02 4.04315000e+01
8.332230e+02 3.27643000e+01
8.394000e+02 2.80024000e+01
8.455770e+02 2.47917000e+01
8.517540e+02 2.24956000e+01
8.641070e+02 1.94525000e+01
8.764610e+02 1.75406000e+01
8.888150e+02 1.62344000e+01
9.011690e+02 1.52878000e+01
9.258770e+02 1.40102000e+01
9.505850e+02 1.31884000e+01
9.752920e+02 1.26147000e+01
1.000000e+03 1.21905000e+01
1.031250e+03 1.17882000e+01
1.062500e+03 1.14830000e+01
1.125000e+03 1.10451000e+01
1.187500e+03 1.07388000e+01
1.250000e+03 1.05053000e+01
1.375000e+03 1.01503000e+01
1.500000e+03 9.86024000e+00
1.625000e+03 9.57902000e+00
1.750000e+03 9.26299000e+00
1.875000e+03 8.85470000e+00
1.937500e+03 8.58552000e+00
2.000000e+03 8.24373000e+00
2.037630e+03 7.98782000e+00
2.075250e+03 7.68070000e+00
2.112880e+03 7.30949000e+00
2.150500e+03 6.86892000e+00
2.169310e+03 6.63285000e+00
2.188130e+03 6.41257000e+00
2.206940e+03 6.27204000e+00
2.225750e+03 6.39164000e+00
2.244560e+03 7.34018000e+00
2.253970e+03 8.65078000e+00
2.263380e+03 1.13245000e+01
